internal_accession	sample_name	gb_accession	date_added	seq_accession
X0000129	CVA6_200007877702_FRA_2020	NA	2024-08-15	X0000129
X0000092	CVA6_200009544602_FRA_2020	NA	2024-08-15	X0000092
X0000029	CVA6_200014127002_FRA_2020	NA	2024-08-15	X0000029
X0000003	CVA6_210040001902a_FRA_2021	NA	2024-08-15	X0000003
X0000097	CVA6_210040003102a_FRA_2021	NA	2024-08-15	X0000097
X0000062	CVA6_210052321202a_FRA_2021	NA	2024-08-15	X0000062
X0000017	CVA6_210052321202b_FRA_2021	NA	2024-08-15	X0000017
X0000039	CVA6_210059133202_FRA_2021	NA	2024-08-15	X0000039
X0000126	CVA6_210059134702_FRA_2021	NA	2024-08-15	X0000126
X0000022	CVA6_210059343002_FRA_2021	NA	2024-08-15	X0000022
X0000016	CVA6_210060034202_FRA_2021	NA	2024-08-15	X0000016
X0000066	CVA6_210063303702_FRA_2021	NA	2024-08-15	X0000066
X0000041	CVA6_210064008402_FRA_2021	NA	2024-08-15	X0000041
X0000063	CVA6_210065488102_FRA_2021	NA	2024-08-15	X0000063
X0000043	CVA6_220012579502_FRA_2022	NA	2024-08-15	X0000043
X0000068	CVA6_220054896002_FRA_2022	NA	2024-08-15	X0000068
X0000101	CVA6_220058182102_FRA_2022	NA	2024-08-15	X0000101
X0000064	CVA6_220060720802_FRA_2022	NA	2024-08-15	X0000064
X0000125	CVA6_220062473502_FRA_2022	NA	2024-08-15	X0000125
X0000030	CVA6_220068171802_FRA_2022	NA	2024-08-15	X0000030
X0000089	CVA6_3160211301_FRA_2016	NA	2024-08-15	X0000089
X0000024	CVA6_3160211311_FRA_2016	NA	2024-08-15	X0000024
X0000023	CVA6_316340001_FRA_2016	NA	2024-08-15	X0000023
